Species name,number of genes aligned
E_curtisii,222
E_virginea,233
E_dawsonii,232
E_guilfoylei,228
E_cloeziana,224
E_grandis,231
E_fibrosa,234
A_floribunda,185
E_tenuipes,220
E_shirleyi,233
E_erythrocorys,222
E_pauciflora,223
E_leucophloia,230
E_brandiana,229
E_victrix,234
E_viminalis,229
E_marginata,222
E_paniculata,233
E_globulus,229
E_sid_E_mel,233
C_maculata,180
E_ANBG9806169,222
E_pumila,229
E_coolabah,237
E_lansdowneana,234
E_decipiens,227
E_melliodora,232
E_albens,234
E_regnans,224
E_sideroxylon,234
C_calophylla,184
E_camaldulensis,226
E_microcorys,222
E_caleyi,230
E_cladocalyx,224
E_polyanthemos,233
